entry_time,exit_time,side,entry_price,exit_price,pnl,contracts
2024-03-01 13:45:00,2024-03-01 13:50:00,long,2096.8,2095.8,-10.0,1
2024-03-04 10:55:00,2024-03-04 11:25:00,long,2115.5,2118.9,34.0,1
2024-03-04 13:50:00,2024-03-04 14:15:00,short,2122.5,2122.7,-2.0,1
2024-03-05 11:15:00,2024-03-05 11:30:00,short,2135.5,2134.7,8.0,1
2024-03-05 14:25:00,2024-03-05 14:40:00,long,2141.9,2141.0,-9.0,1
2024-03-06 09:35:00,2024-03-06 10:00:00,long,2152.6,2153.0,4.0,1
2024-03-06 11:25:00,2024-03-06 11:40:00,long,2155.3,2151.1,-42.0,1
2024-03-06 12:45:00,2024-03-06 13:05:00,short,2151.7,2154.4,-27.0,1
2024-03-06 13:30:00,2024-03-06 13:55:00,long,2159.0,2156.4,-26.0,1
2024-03-07 10:40:00,2024-03-07 10:55:00,long,2162.8,2161.3,-15.0,1
2024-03-07 11:45:00,2024-03-07 11:50:00,long,2164.1,2163.4,-7.0,1
2024-03-07 13:35:00,2024-03-07 13:55:00,long,2165.9,2164.0,-19.0,1
2024-03-08 11:00:00,2024-03-08 11:05:00,long,2184.3,2181.0,-33.0,1
2024-03-08 11:55:00,2024-03-08 12:35:00,long,2185.6,2197.7,121.0,1
2024-03-11 09:45:00,2024-03-11 10:05:00,long,2190.1,2183.0,-71.0,1
2024-03-11 12:35:00,2024-03-11 12:55:00,short,2187.0,2187.9,-9.0,1
2024-03-11 13:45:00,2024-03-11 14:35:00,short,2186.1,2184.3,18.0,1
2024-03-12 10:45:00,2024-03-12 11:05:00,long,2166.5,2166.4,-1.0,1
2024-03-12 12:55:00,2024-03-12 13:05:00,long,2171.5,2169.1,-24.0,1
2024-03-13 09:40:00,2024-03-13 09:50:00,long,2175.0,2171.2,-38.0,1
2024-03-13 11:10:00,2024-03-13 11:35:00,long,2176.0,2177.8,18.0,1
2024-03-13 12:55:00,2024-03-13 13:25:00,long,2179.0,2181.4,24.0,1
2024-03-14 11:35:00,2024-03-14 11:55:00,short,2162.0,2161.7,3.0,1
2024-03-14 12:30:00,2024-03-14 13:00:00,long,2163.6,2162.8,-8.0,1
2024-03-14 13:20:00,2024-03-14 13:25:00,long,2167.6,2166.8,-8.0,1
2024-03-15 10:25:00,2024-03-15 10:30:00,long,2166.2,2164.7,-15.0,1
2024-03-15 11:50:00,2024-03-15 12:10:00,short,2162.1,2165.6,-35.0,1
2024-03-15 12:40:00,2024-03-15 12:50:00,long,2167.1,2164.4,-27.0,1
2024-03-18 10:30:00,2024-03-18 10:50:00,long,2163.4,2162.8,-6.0,1
2024-03-18 12:05:00,2024-03-18 12:25:00,short,2158.2,2160.5,-23.0,1
2024-03-18 12:50:00,2024-03-18 13:25:00,long,2162.9,2164.0,11.0,1
2024-03-19 09:45:00,2024-03-19 10:15:00,short,2154.9,2154.8,1.0,1
2024-03-19 11:05:00,2024-03-19 11:10:00,long,2156.5,2155.8,-7.0,1
2024-03-19 12:20:00,2024-03-19 12:35:00,long,2158.2,2157.5,-7.0,1
2024-03-19 13:35:00,2024-03-19 14:05:00,long,2160.2,2160.0,-2.0,1
2024-03-20 09:50:00,2024-03-20 10:35:00,long,2158.2,2162.8,46.0,1
2024-03-20 12:45:00,2024-03-20 13:00:00,long,2160.5,2160.9,4.0,1
2024-03-20 14:05:00,2024-03-20 14:25:00,long,2174.0,2168.4,-56.0,1
2024-03-21 09:35:00,2024-03-21 10:45:00,short,2202.0,2179.8,222.0,1
2024-03-21 12:20:00,2024-03-21 12:45:00,long,2177.9,2179.3,14.0,1
2024-03-22 10:00:00,2024-03-22 10:05:00,long,2179.7,2178.9,-8.0,1
2024-03-22 10:35:00,2024-03-22 10:45:00,short,2173.7,2175.9,-22.0,1
2024-03-22 12:55:00,2024-03-22 13:00:00,short,2164.0,2164.3,-3.0,1
2024-03-22 14:25:00,2024-03-22 14:50:00,long,2165.5,2164.2,-13.0,1
2024-03-25 14:10:00,2024-03-25 14:25:00,short,2174.4,2175.1,-7.0,1
2024-03-26 09:45:00,2024-03-26 10:00:00,short,2181.4,2183.6,-22.0,1
2024-03-26 11:10:00,2024-03-26 11:25:00,short,2179.6,2178.6,10.0,1
2024-03-26 11:35:00,2024-03-26 12:00:00,short,2177.8,2174.8,30.0,1
2024-03-27 09:40:00,2024-03-27 10:20:00,long,2189.1,2189.4,3.0,1
2024-03-27 11:30:00,2024-03-27 12:05:00,short,2188.7,2189.5,-8.0,1
2024-03-27 12:55:00,2024-03-27 13:30:00,long,2191.7,2190.6,-11.0,1
2024-04-29 10:40:00,2024-04-29 10:50:00,long,2349.7,2347.8,-19.0,1
2024-04-29 12:10:00,2024-04-29 12:35:00,long,2352.9,2354.9,20.0,1
2024-04-29 13:55:00,2024-04-29 14:05:00,short,2352.1,2354.8,-27.0,1
2024-04-30 09:55:00,2024-04-30 10:00:00,long,2318.8,2318.9,1.0,1
2024-04-30 10:15:00,2024-04-30 11:10:00,short,2311.7,2307.7,40.0,1
2024-05-01 09:55:00,2024-05-01 10:25:00,long,2312.5,2315.0,25.0,1
2024-05-01 10:55:00,2024-05-01 11:05:00,short,2312.0,2315.2,-32.0,1
2024-05-01 11:15:00,2024-05-01 11:25:00,short,2315.7,2316.4,-7.0,1
2024-05-01 11:35:00,2024-05-01 11:55:00,long,2320.4,2316.9,-35.0,1
2024-05-01 12:25:00,2024-05-01 12:50:00,short,2313.8,2315.1,-13.0,1
2024-05-01 13:30:00,2024-05-01 14:00:00,short,2310.7,2310.8,-1.0,1
2024-05-01 14:30:00,2024-05-01 15:10:00,long,2324.2,2332.8,86.0,1
2024-05-02 10:35:00,2024-05-02 11:15:00,long,2309.3,2311.8,25.0,1
2024-05-02 13:50:00,2024-05-02 14:20:00,long,2315.0,2314.4,-6.0,1
2024-05-03 12:55:00,2024-05-03 13:10:00,long,2308.5,2306.6,-19.0,1
2024-05-06 11:00:00,2024-05-06 11:05:00,short,2329.7,2329.7,0.0,1
2024-05-06 12:10:00,2024-05-06 12:25:00,long,2335.3,2335.4,1.0,1
2024-05-07 11:20:00,2024-05-07 11:40:00,short,2324.5,2323.1,14.0,1
2024-05-07 13:45:00,2024-05-07 14:00:00,long,2325.0,2322.4,-26.0,1
2024-05-08 10:35:00,2024-05-08 10:50:00,long,2324.9,2324.0,-9.0,1
2024-05-08 11:55:00,2024-05-08 12:25:00,long,2327.0,2326.0,-10.0,1
2024-05-08 13:00:00,2024-05-08 13:30:00,short,2324.9,2322.3,26.0,1
2024-05-08 14:25:00,2024-05-08 14:30:00,short,2319.8,2319.8,0.0,1
2024-05-09 12:05:00,2024-05-09 12:20:00,short,2337.8,2338.5,-7.0,1
